name of image,area,perimeter,aspect_ratio,equi_diameter,extent,convex_area,solidity,majoraxis_length,minoraxis_length,eccentricity,Species
6,52288.5,1502.839742,0.348979592,258.0228399,0.624042248,59474.5,0.879175109,479.4223938,151.2579498,0.948925449,6
6.01,52425,1581.307777,0.351738241,258.3594069,0.62330575,61725,0.849331713,490.078186,153.1075287,0.949945885,6
6.02,53243,1565.567663,0.352112676,260.3672274,0.612164415,61414.5,0.866945103,495.1990967,153.5133514,0.950735482,6
6.03,43588,2979.301846,0.353061224,235.5800613,0.514191341,58741.5,0.742030762,475.1194763,141.542572,0.95459414,6
6.04,22962.5,4874.758901,0.354639175,170.9876108,0.275263726,59496,0.385950316,461.7554626,127.5330811,0.961102533,6
6.05,42503,1716.3616,0.381609195,232.6295346,0.588602687,54044.5,0.786444504,427.9996338,151.3426819,0.935394952,6
6.06,42405.5,1607.006262,0.341013825,232.3625605,0.660192739,51551.5,0.822585182,437.8400574,141.3973083,0.946418473,6
6.07,40994.5,2221.245936,0.373853211,228.4640421,0.576834862,53547,0.765579771,443.710968,142.4927521,0.947032181,6
6.08,40896,2250.861162,0.376443418,228.1894047,0.57943581,53894.5,0.758815835,434.7857666,145.4720459,0.942366188,6
6.09,43359,2075.380933,0.331858407,234.9604082,0.639513274,52925,0.819253661,440.2016296,140.7822418,0.947480654,6
6.1,42262.5,1879.373793,0.327510917,231.9704426,0.615174672,54129,0.780773707,462.7918396,138.1749268,0.954388301,6
6.11,43305.5,1998.569751,0.331125828,234.8154064,0.637314202,52733.5,0.821214219,441.1069946,141.3482971,0.947268836,6
6.12,41639,2199.121048,0.361655773,230.2529509,0.5464866,56451,0.737613151,456.256134,143.7305298,0.949084507,6
6.13,48958.5,1540.094575,0.350730689,249.6715808,0.608391739,56564,0.865541687,487.8565063,141.6611328,0.956913057,6
6.14,48829.5,1467.182888,0.317427386,249.3424359,0.662130827,54825.5,0.890634832,483.7915649,136.4450378,0.959404795,6
6.15,48896.5,1522.011315,0.311578947,249.5134413,0.695540541,55210,0.885645716,484.8667603,136.1749115,0.959751625,6
6.16,49254,1558.680361,0.353556485,250.4239217,0.609715036,57711,0.853459479,486.0298157,142.1685638,0.956262475,6
6.17,49294,1519.99407,0.317327766,250.5255878,0.677040985,55957,0.880926426,487.2980347,137.4819946,0.959375822,6
6.18,48828.5,1486.839741,0.320083682,249.3398827,0.667657998,54816,0.890770943,486.6278687,135.9206085,0.960200635,6
6.19,49336.5,1558.378845,0.35,250.6335628,0.611811756,57171,0.86296374,486.3262329,142.7090759,0.955976542,6
6.2,48991,1410.170694,0.32278481,249.7544365,0.675532942,54537,0.898307571,482.8553162,136.7899628,0.959033143,6
6.21,49040,1494.253955,0.317327766,249.8793054,0.673552357,54848,0.894107351,479.6626587,137.4855499,0.958041456,6
6.22,49040,1538.052944,0.319415449,249.8793054,0.669150054,55780.5,0.87916028,486.1305847,137.9646912,0.958882991,6
6.23,48869.5,1479.325023,0.320833333,249.4445428,0.661113366,54712,0.893213555,481.9120178,136.5518951,0.959015265,6
6.24,48958.5,1463.040752,0.313807531,249.6715808,0.682824268,54314.5,0.901389132,484.4632874,137.1716309,0.959078165,6
6.25,48890.5,1491.810304,0.320083682,249.4981322,0.668505757,54926.5,0.890107689,484.5143738,137.0670013,0.959150697,6
6.26,49036,1482.11182,0.353684211,249.8691144,0.614486216,56425,0.869047408,489.0794983,141.323822,0.957341535,6
6.27,49246.5,1499.467159,0.320833333,250.4048547,0.666213474,55900,0.880974955,481.7989197,138.6607666,0.957691135,6
6.28,49296,1450.798112,0.322175732,250.53067,0.669673423,55799,0.883456693,486.054657,137.6371918,0.959069067,6
6.29,49294.5,1527.408283,0.32016632,250.5268583,0.665476415,56053.5,0.87941877,489.2501221,137.7679749,0.959534801,6
7,22783,847.8965298,0.359589041,170.3179866,0.743085453,24977,0.912159186,297.2459717,100.2285995,0.941436339,7
7.01,26520,1010.063051,0.302777778,183.756123,0.675840979,29551,0.897431559,337.443634,104.8530502,0.950499005,7
7.02,23590,963.2934978,0.29512894,173.3081673,0.656243915,26565.5,0.887993827,326.9376221,93.46835327,0.958262299,7
7.03,23512,993.5777682,0.301449275,173.0214096,0.655295429,26348,0.892363747,323.5458374,94.82530975,0.956087452,7
7.04,22710.5,930.2224302,0.320872274,170.0467779,0.686885643,25113.5,0.904314413,309.2897034,94.80970001,0.951857742,7
7.05,21780,925.1513627,0.327974277,166.5267465,0.686589748,24604.5,0.885203926,298.9205627,95.18622589,0.947945309,7
7.06,23269,920.3229351,0.304477612,172.1249865,0.680977466,25677,0.906219574,314.3700867,94.77687836,0.953471913,7
7.07,23491.5,1036.364566,0.29512894,172.9459649,0.653503769,26864.5,0.874443969,329.585907,93.51243591,0.958905086,7
7.08,23493.5,932.9087218,0.324921136,172.9533268,0.719533858,25721,0.913397613,304.5265198,101.2588654,0.943098859,7
7.09,23157.5,777.570629,0.364912281,171.7120985,0.781292173,24871.5,0.931085781,296.6732483,102.1874084,0.938806757,7
7.1,22773.5,969.7371492,0.321875,170.2824735,0.690943568,25282,0.900779211,308.6714783,96.06710052,0.950335386,7
7.11,23416.5,865.653888,0.322884013,172.6696667,0.712679186,25482.5,0.918924752,303.5185547,99.35541534,0.944904737,7
7.12,22929,801.2691127,0.357638889,170.8628383,0.77295712,24721,0.927511023,295.5033569,101.3364868,0.939361553,7
7.13,24196,955.1513625,0.291784703,175.5200958,0.665474848,27290.5,0.886608893,326.0090027,96.86349487,0.954840433,7
7.14,23748,1012.548332,0.291784703,173.8875864,0.653153277,27383.5,0.86723757,331.7072754,95.02671814,0.958086927,7
7.15,23589,983.2934984,0.302941176,173.3044939,0.673586522,26049.5,0.905545212,321.72995,95.06902313,0.955344833,7
7.16,22227,828.0386645,0.357638889,168.2269163,0.749292071,24114,0.921746703,295.9237366,98.98475647,0.942397829,7
7.17,24096,1037.920914,0.293447293,175.1570155,0.666500705,27880.5,0.864259967,335.6087646,94.9095993,0.95917939,7
7.18,22525,806.925967,0.367491166,169.3508806,0.765323457,23987,0.939050319,293.6035461,100.0455399,0.940153781,7
